seed,mode,anchor,age,head,pairs,samples,sample_mean_mass,pair_mean_mass,bias_mean
20260716,constant,other,age_6_20,mean,869369,58239,0.18792159902137717,0.18785752984731585,-0.09646138548851013
20260716,constant,other,age_gt20,0,3292092,57722,0.23903947654554955,0.23902354520725147,-0.06362737715244293
20260716,constant,other,age_gt20,1,3292092,57722,0.14570097613153293,0.14559321188223093,-0.24013987183570862
20260716,constant,other,age_gt20,2,3292092,57722,0.16451625797226807,0.16429777521411473,0.0315265953540802
20260716,constant,other,age_gt20,3,3292092,57722,0.21028746476569624,0.21028965476684483,-0.11360488831996918
20260716,constant,other,age_gt20,mean,3292092,57722,0.1898860438537617,0.18980104676761048,-0.09646138548851013
20260716,constant,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.16857493949755428,0.16857493949755428,-0.06362737715244293
20260716,constant,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.21150430152228827,0.21150430152228827,-0.24013987183570862
20260716,constant,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.04041014239249384,0.04041014239249384,0.0315265953540802
20260716,constant,Pass+CONTROL,ends_at_anchor,3,38348,38348,0.221739577612565,0.221739577612565,-0.11360488831996918
20260716,constant,Pass+CONTROL,ends_at_anchor,mean,38348,38348,0.16055724025622536,0.16055724025622536,-0.09646138548851013
20260716,constant,Pass+CONTROL,age_1_5,0,191477,38364,0.23142217890519884,0.23147732880103244,-0.06362737715244293
20260716,constant,Pass+CONTROL,age_1_5,1,191477,38364,0.2284950254280936,0.22837364451860823,-0.24013987183570862
20260716,constant,Pass+CONTROL,age_1_5,2,191477,38364,0.1632297880465353,0.16328720805738486,0.0315265953540802
20260716,constant,Pass+CONTROL,age_1_5,3,191477,38364,0.18573698689798662,0.18574126860972068,-0.11360488831996918
20260716,constant,Pass+CONTROL,age_1_5,mean,191477,38364,0.2022209948194536,0.20221986249668655,-0.09646138548851013
20260716,constant,Pass+CONTROL,age_6_20,0,571171,38253,0.23493961577656253,0.23490277917315178,-0.06362737715244293
20260716,constant,Pass+CONTROL,age_6_20,1,571171,38253,0.1670768207286937,0.16686573416607037,-0.24013987183570862
20260716,constant,Pass+CONTROL,age_6_20,2,571171,38253,0.16629806398423352,0.16627200636046816,0.0315265953540802
20260716,constant,Pass+CONTROL,age_6_20,3,571171,38253,0.1983967186100668,0.19846029263071277,-0.11360488831996918
