configuration,seed,task,layer,relation,message_norm
pg_task,20260715,event,layer2,event__ends_in__zone,103.84091186523438
pg_task,20260715,event,layer2,zone__end_of__event,267.0456237792969
pg_task,20260715,event,layer2,event__belongs_to__possession,118.78963470458984
pg_task,20260715,event,layer2,possession__contains__event,212.70469665527344
pg_task,20260715,event,layer2,possession__owned_by__team,0.0
pg_task,20260715,event,layer2,team__has_possession__possession,0.0
pg_task,20260715,event,layer2,possession__next__possession,0.0
pg_task,20260715,time,layer1,event__next__event,111.54650115966797
pg_task,20260715,time,layer1,event__gap_0_2s__event,123.28980255126953
pg_task,20260715,time,layer1,event__gap_2_5s__event,95.33174896240234
pg_task,20260715,time,layer1,event__gap_5_15s__event,77.40803527832031
pg_task,20260715,time,layer1,event__gap_15_60s__event,65.06840515136719
pg_task,20260715,time,layer1,event__gap_60plus__event,0.0
pg_task,20260715,time,layer1,event__period_break__event,0.0
pg_task,20260715,time,layer1,player__performs__event,107.79474639892578
pg_task,20260715,time,layer1,event__performed_by__player,96.90605163574219
pg_task,20260715,time,layer1,team__performs__event,73.65853118896484
pg_task,20260715,time,layer1,event__performed_by_team__team,91.75414276123047
pg_task,20260715,time,layer1,event__has_type__event_type,113.96694946289062
pg_task,20260715,time,layer1,event_type__describes__event,134.20663452148438
pg_task,20260715,time,layer1,event__has_tag__tag,106.93644714355469
pg_task,20260715,time,layer1,tag__describes__event,143.19064331054688
pg_task,20260715,time,layer1,event__starts_in__zone,126.25608825683594
pg_task,20260715,time,layer1,zone__start_of__event,138.65933227539062
pg_task,20260715,time,layer1,event__ends_in__zone,124.44358825683594
pg_task,20260715,time,layer1,zone__end_of__event,147.4435272216797
pg_task,20260715,time,layer1,event__belongs_to__possession,82.84644317626953
pg_task,20260715,time,layer1,possession__contains__event,138.4038543701172
pg_task,20260715,time,layer1,possession__owned_by__team,0.0
pg_task,20260715,time,layer1,team__has_possession__possession,0.0
pg_task,20260715,time,layer1,possession__next__possession,0.0
pg_task,20260715,time,layer2,event__next__event,203.38140869140625
pg_task,20260715,time,layer2,event__gap_0_2s__event,136.5517578125
pg_task,20260715,time,layer2,event__gap_2_5s__event,124.59779357910156
pg_task,20260715,time,layer2,event__gap_5_15s__event,69.39571380615234
pg_task,20260715,time,layer2,event__gap_15_60s__event,36.89899826049805
pg_task,20260715,time,layer2,event__gap_60plus__event,0.0
pg_task,20260715,time,layer2,event__period_break__event,0.0
pg_task,20260715,time,layer2,player__performs__event,155.71766662597656
pg_task,20260715,time,layer2,event__performed_by__player,136.2729949951172
pg_task,20260715,time,layer2,team__performs__event,163.79763793945312
pg_task,20260715,time,layer2,event__performed_by_team__team,133.63912963867188
pg_task,20260715,time,layer2,event__has_type__event_type,114.89927673339844
pg_task,20260715,time,layer2,event_type__describes__event,452.27197265625
pg_task,20260715,time,layer2,event__has_tag__tag,147.79298400878906
pg_task,20260715,time,layer2,tag__describes__event,224.56187438964844
pg_task,20260715,time,layer2,event__starts_in__zone,131.70895385742188
pg_task,20260715,time,layer2,zone__start_of__event,290.2464904785156
pg_task,20260715,time,layer2,event__ends_in__zone,116.79267120361328
pg_task,20260715,time,layer2,zone__end_of__event,302.4674987792969
pg_task,20260715,time,layer2,event__belongs_to__possession,134.5511016845703
pg_task,20260715,time,layer2,possession__contains__event,237.7998046875
pg_task,20260715,time,layer2,possession__owned_by__team,0.0
pg_task,20260715,time,layer2,team__has_possession__possession,0.0
pg_task,20260715,time,layer2,possession__next__possession,0.0
pg_task,20260715,position,layer1,event__next__event,0.09800863265991211
pg_task,20260715,position,layer1,event__gap_0_2s__event,0.11176153272390366
pg_task,20260715,position,layer1,event__gap_2_5s__event,0.09698805212974548
pg_task,20260715,position,layer1,event__gap_5_15s__event,0.0623556524515152
pg_task,20260715,position,layer1,event__gap_15_60s__event,0.036654744297266006
